region,year,loss_pct_inside_pa,loss_pct_outside_pa
Africa,2001,0.11828675241927261,0.18293993870152542
Africa,2002,0.1212310563271166,0.1932272988314726
Africa,2003,0.08036631559342043,0.10251562073211849
Africa,2004,0.08941680424174851,0.16378972624504867
Africa,2005,0.11771129010773211,0.18041882291977185
Africa,2006,0.10198330437597232,0.17037162946593767
Africa,2007,0.14158941892072574,0.22100417199428
Africa,2008,0.14735313244352446,0.17004559030532646
Africa,2009,0.13460442892631977,0.25310325595431604
Africa,2010,0.23790109955314995,0.3092214038359565
Africa,2011,0.12696413912934915,0.21118192159816454
Africa,2012,0.17497255675173942,0.2576118151174453
Africa,2013,0.22788702772107483,0.38780304375816316
Africa,2014,0.40555785452836846,0.607482817335911
Africa,2015,0.26266297405886646,0.3987854184515819
Africa,2016,0.5287565888211474,0.5897797225753559
Africa,2017,0.4027501043489841,0.5677445498575019
Africa,2018,0.378810121242202,0.5184921129122605
Africa,2019,0.34865664706417804,0.4770200162581704
Africa,2020,0.38724601930368563,0.5296542954540474
Africa,2021,0.3181429160887852,0.4878799817829446
Africa,2022,0.3442396971585319,0.45840420919110536
Africa,2023,0.36876502345445655,0.5433057369465036
Africa,2024,0.47441472627342707,0.5323979861751028
Africa,2025,0.4062398327004585,0.5177762927369834
Asia,2001,0.31322889385383823,0.6046288077365826
Asia,2002,0.3313771968744668,0.6288690137612101
Asia,2003,0.23231955659626316,0.39658376414936863
Asia,2004,0.4872557819788592,0.8393187447064311
Asia,2005,0.4914271432740257,0.6994528480073994
Asia,2006,0.6541589957135162,1.0009050812360376
Asia,2007,0.7401174089702354,1.0306092303961063
Asia,2008,0.8052190157511223,0.9987646148855911
Asia,2009,0.5712326877978107,1.4572571103046938
Asia,2010,0.5754838413387933,1.1268805021090313
Asia,2011,0.42357270401248165,1.0550832766155784
Asia,2012,0.6988825494934677,1.4821279483508507
Asia,2013,0.41982246845912263,0.9149577620624278
Asia,2014,0.7316062360831794,1.5654652795229482
Asia,2015,0.6744927196889982,1.2802060194719467
Asia,2016,1.204694461527127,1.6390328778301257
Asia,2017,0.5883481245253745,1.0019849810334887
Asia,2018,0.6623244022020355,1.0412434354774003
Asia,2019,0.5977104147011362,0.9932316244485226
Asia,2020,0.5118007633724158,0.7740110449352564
Asia,2021,0.3596857125290183,0.7388705715603978
Asia,2022,0.4142458770570829,0.6284059365249629
Asia,2023,0.43359992957004445,0.9441767388497285
Asia,2024,0.4769936125863934,0.7868197797024667
Asia,2025,0.43912775904408535,0.8287075553923463
