year,loss_pct_inside_pa,loss_pct_outside_pa
2001,0.1266063337988068,0.1954693670792642
2002,0.13019950155405877,0.2061713010719341
2003,0.08685125181656878,0.11125311894864065
2004,0.10639545096675936,0.18386137877233513
2005,0.13366042983893106,0.19584061875191242
2006,0.1255486072195611,0.19504885043001424
2007,0.16713290728348876,0.24505955817678177
2008,0.17542899491594857,0.19466890011074786
2009,0.15323849288783115,0.28888167123092817
2010,0.25230817988962334,0.33351609563719364
2011,0.13962255703351673,0.2362563363195272
2012,0.19733155921313913,0.29399524450186687
2013,0.2360782915857582,0.40346612564622514
2014,0.41947268086632156,0.6359468663741712
2015,0.2802387073409019,0.42497462357909505
2016,0.5576037128862855,0.6209556516174577
2017,0.4106709049587189,0.5806469164615529
2018,0.390909711999479,0.5340243589268064
2019,0.3592855601995699,0.49235795104259716
2020,0.3925616648683707,0.5369147441309304
2021,0.31991584560097047,0.4953375384059096
2022,0.34722736368589385,0.46345538465038544
2023,0.371531994585961,0.555216614552906
2024,0.4745247858756834,0.5399574924220462
2025,0.40764339674057026,0.5270148362981519
