driver,Cameroon,Central African Republic,Democratic Republic of the Congo,Gabon,Nigeria,Republic of the Congo,Rwanda,Burundi,Tanzania,Uganda
Hard commodities,2.2718242471400427,0.8173628712426778,0.525770130551241,4.502422257706568,1.1167156482468028,1.2482148810501228,0.10010010010010009,,0.3667533692038481,0.07506603106389709
Logging,4.940855586643048,1.2593824705268408,0.7845520683733134,13.824641172066002,0.831452934227341,8.001811242641827,42.89383723345988,11.715512885295604,4.592478977772176,15.38501252602931
Other natural disturbances,0.2887273810903432,0.12961878032105986,0.38048935751036317,3.4411395888025837,0.2581592153504946,2.246056981162745,2.062439798288855,0.6467913087417888,0.40088328550779917,1.0378124644030489
Permanent agriculture,40.0188732347731,53.922746140107414,13.923537894614189,17.408860862269616,84.36746163824877,7.603901801456623,50.097267078399156,83.52450732693279,78.48792193825186,79.68136272709319
Settlements & Infrastructure,1.626450672979819,0.4940271345981685,0.4671553059988621,2.2784558896496976,4.864917063937861,0.7918381293114458,2.610157327138459,1.9732187973724102,0.9873940294744974,1.1500017619210348
Shifting cultivation,50.667930400807904,41.79530011903947,82.77783927109792,58.351240899618396,8.493051911891095,69.89912108289752,2.024666175609572,2.0186963112683176,14.97162933655917,2.5655209262951555
Wildfire,0.1853384765657335,1.5815624841643723,1.140655971854116,0.19323932988714174,0.06824158809763697,10.209055881479712,0.2115322870039851,0.1212733703890854,0.19293906323064894,0.10522356319437104
